step,name,x,y,z
7150,Gezegen2,-9.75466,-16.201,0
7200,Merkez,-0.200679,0.245795,0
7200,Gezegen1,5.82433,8.10358,0
7200,Gezegen2,-9.4361,-16.3776,0
7250,Merkez,-0.203628,0.246848,0
7250,Gezegen1,5.41352,8.40304,0
7250,Gezegen2,-9.11419,-16.5482,0
7300,Merkez,-0.206578,0.247892,0
7300,Gezegen1,4.98825,8.6815,0
7300,Gezegen2,-8.78903,-16.7127,0
7350,Merkez,-0.209531,0.248927,0
7350,Gezegen1,4.54962,8.93825,0
7350,Gezegen2,-8.46074,-16.871,0
7400,Merkez,-0.212486,0.249952,0
7400,Gezegen1,4.09874,9.17266,0
7400,Gezegen2,-8.12945,-17.023,0
7450,Merkez,-0.215445,0.25097,0
7450,Gezegen1,3.63678,9.38413,0
7450,Gezegen2,-7.79527,-17.1688,0
7500,Merkez,-0.218408,0.251979,0
7500,Gezegen1,3.16494,9.57216,0
7500,Gezegen2,-7.45833,-17.3082,0
7550,Merkez,-0.221376,0.25298,0
7550,Gezegen1,2.68441,9.73627,0
7550,Gezegen2,-7.11875,-17.4412,0
7600,Merkez,-0.224348,0.253972,0
7600,Gezegen1,2.19643,9.87607,0
7600,Gezegen2,-6.77664,-17.5677,0
7650,Merkez,-0.227327,0.254957,0
7650,Gezegen1,1.70225,9.99124,0
7650,Gezegen2,-6.43215,-17.6877,0
7700,Merkez,-0.230311,0.255934,0
7700,Gezegen1,1.20314,10.0815,0
7700,Gezegen2,-6.08538,-17.8012,0
7750,Merkez,-0.233303,0.256904,0
7750,Gezegen1,0.70036,10.1467,0
7750,Gezegen2,-5.73648,-17.908,0
7800,Merkez,-0.236302,0.257865,0
7800,Gezegen1,0.195198,10.1866,0
7800,Gezegen2,-5.38556,-18.0083,0
7850,Merkez,-0.23931,0.258818,0
7850,Gezegen1,-0.311065,10.2013,0
7850,Gezegen2,-5.03276,-18.1018,0
7900,Merkez,-0.242327,0.259762,0
7900,Gezegen1,-0.817149,10.1906,0
7900,Gezegen2,-4.6782,-18.1886,0
7950,Merkez,-0.245353,0.260699,0
7950,Gezegen1,-1.32178,10.1547,0
7950,Gezegen2,-4.32202,-18.2687,0
8000,Merkez,-0.24839,0.261626,0
8000,Gezegen1,-1.82368,10.0937,0
8000,Gezegen2,-3.96435,-18.3419,0
8050,Merkez,-0.251437,0.262544,0
8050,Gezegen1,-2.32159,10.0078,0
8050,Gezegen2,-3.60532,-18.4084,0
8100,Merkez,-0.254495,0.263453,0
8100,Gezegen1,-2.81427,9.89728,0
8100,Gezegen2,-3.24505,-18.468,0
8150,Merkez,-0.257566,0.264351,0
8150,Gezegen1,-3.30049,9.76241,0
8150,Gezegen2,-2.8837,-18.5208,0
8200,Merkez,-0.260649,0.26524,0
8200,Gezegen1,-3.77905,9.60359,0
8200,Gezegen2,-2.52138,-18.5666,0
8250,Merkez,-0.263745,0.266117,0
8250,Gezegen1,-4.24875,9.42127,0
8250,Gezegen2,-2.15823,-18.6056,0
8300,Merkez,-0.266855,0.266982,0
8300,Gezegen1,-4.70845,9.21594,0
8300,Gezegen2,-1.79439,-18.6377,0
8350,Merkez,-0.269978,0.267836,0
8350,Gezegen1,-5.15702,8.98817,0
8350,Gezegen2,-1.42999,-18.6628,0
8400,Merkez,-0.273116,0.268676,0
8400,Gezegen1,-5.59335,8.73856,0
